id|type|name|legend|is_other_wargear|faction_id|description|
000000063||Boom bomb||true|ORK|Once per turn, if the bearer has any boom bombs remaining, it can drop one of them. In your Movement phase, after the bearer makes a Normal Move or Advances, you can select one point on the battlefield the bearer moved across this phase. Roll one D6 for each unit within 6"" of that point, subtracting 1 if that unit is a CHARACTER (excluding VEHICLE or MONSTER units): on a 4+, that unit suffers D3 mortal wounds. On a 6, that unit suffers D6 mortal wounds instead. Each boom bomb can only be dropped once per battle.|
000000064||Grot Gunner||false|ORK|Each time this model makes an attack with a big shoota, add 1 to that attack’s hit roll.|
000000066||Outriders||false|ORK|During deployment, you can set up this unit on the army’s flank instead of setting it up on the battlefield. If you do, at the end of one of your Movement phases you can set up this unit anywhere on the battlefield that is more than 9"" away from any enemy models and wholly within 6"" of any battlefield edge.|
000000069||Grot Krew||false|ORK|Each Big Gun and its grot krew are treated as a single model for all rules purposes. The krew must remain within 1"" of their Big Gun and cannot be targeted or attacked separately. The range and visibility of all attacks made by a Big Gun are measured from the Big Gun, not the krew.|
000000071||Big Gunz||false|ORK|The first time this unit is set up on the battlefield, all of its Big Gunz must be placed within 6"" of at least one other Big Gun, and with each grot krew within 1"" of their Big Gun. From that point onwards, each Big Gun operates independently and is treated as a separate unit for all rules purposes.|
000000074||’Ard case||true|ORK|Add 1 to this model’s Toughness characteristic. This model cannot use the Open Topped ability.|
000000077||Explodes||false|ORK|When this model is destroyed, roll one D6. On a 6 it explodes, and each unit within 3"" suffers D3 mortal wounds.|
000000078||Explodes||false|ORK|Each time a model in this unit is destroyed, roll one D6 before removing it from play. On a 6 it explodes, and each unit within 3"" suffers 1 mortal wound.|
000000079||Scrag ’Em||false|ORK|While this unit contains 3 or more models, add 1 to the Attacks characteristic of models in this unit.|
000000080||Explodes||false|ORK|When this transport is destroyed, roll one D6 before any embarked models disembark and before removing it from play. On a 6 it explodes, and each unit within 2D6"" suffers D6 mortal wounds.|
000000081||Kustom force field||true|ORK|(Aura) While a friendly ORKS unit is within 6"" of the bearer, it has a 6+ invulnerable save. The range of this aura ability can never be increased, unless specifically stated otherwise.|
000000083||Explodes||false|ORK|When this transport is destroyed, roll one D6 before any embarked models disembark and before removing it from play. On a 6 it explodes, and each unit within 2D6"" suffers D6 mortal wounds.|
000000084||Big ’n’ Stompy||false|ORK|This model is eligible to declare a charge in a turn in which it Fell Back. Each time this model makes a Normal Move, Advances or Falls Back, it can be moved across other models (excluding MONSTER and VEHICLE models) as if they were not there, and when it does so it can be moved within Engagement Range of such models, but cannot finish its move within Engagement Range of any of them.|
000000085||Ammo Runt||true|ORK|Once per battle, when the bearer makes a ranged attack, you can re-roll the hit roll.We recommend placing an Ammo Runt model next to the unit as a reminder, removing it once this ability has been used (an Ammo Runt does not count as a model for any rules purposes).|
000000087||Explodes||false|ORK|When this transport is destroyed, roll one D6 before any embarked models disembark and before removing it from play. On a 6 it explodes, and each unit within 3D6"" suffers D6 mortal wounds.|
000000090||Waaagh! Effigy (Aura)||false|ORK|While a friendly ORKS unit is within 6"" of this model, each time a Morale test is taken for that unit, you can re-roll the result.|
000000092||Da Beast||false|ORK|When this model Advances, do not make an Advance roll. Instead, until the end of the phase, add 6"" to the Move characteristic of this model.|
000000094||Nitnuckle and Lunk||false|ORK|Once per turn, when Mek Boss Buzzgob uses the Mekaniak Boss ability to repair a GOFF VEHICLE model, you can choose for his grot underlings to help. If you do so, that GOFF VEHICLE model can regain 1 additional lost wound. You can only use this ability twice per battle.We recommend placing two Grot Oiler models next to this Mek Boss Buzzgob model as a reminder, removing one each time this ability has been used (a Grot Oiler model does not count as a model for any rules purposes).|
000000100||Explodes||false|ORK|When this model is destroyed, roll one D6 before removing it from play. On a 6 it explodes, and each unit within 6"" suffers D3 mortal wounds.|
000000101||Howdah||false|ORK|In your Shooting phase, units embarked on this model can be selected to shoot. Measure the range and draw line of sight from any point on this model. When shooting with units embarked on this model, they do not count as being within Engagement Range of enemy units, and if this model made a Normal Move or Fell Back, they count as having Remained Stationary. Any other restrictions or modifiers that apply to this model also apply to models embarked upon it; for example, if this model Advanced, models embarked upon it also count as having Advanced.|
000000102||Stampede||false|ORK|Each time this model finishes a charge move, select one enemy unit within Engagement Range of it and roll one D6: on a 2+, that unit suffers D3 mortal wounds.|
000000107||Explodes||false|ORK|When this model is destroyed, roll one D6 before removing it from play. On a 6 it explodes, and each unit within 6"" suffers D3 mortal wounds.|
000000109||Explodes||false|ORK|When this model is destroyed, roll one D6 before removing it from play. On a 6 it explodes, and each unit within 6"" suffers D3 mortal wounds.|
000000113||Explodes||false|ORK|When this transport is destroyed, roll one D6 before any embarked models disembark and before removing it from play. Ona 6 it explodes, and each unit within 6"" suffers D6 mortal wounds.|
000000120||Bigbomm||false|ORK|Once per battle for each bigbomm that this model is equipped with it can drop a bomm. If it does, in your Movement phase, after this model has made a Normal Move or Advanced, you can select one enemy unit this model moved across as part of that move. If you do, roll one D6 for each model in that enemy unit (up to a maximum of five D6). That enemy unit suffers 1 mortal wound for each result of 5+.|
000000129|Abilities|And They Shall Know No Fear|Space Marines stand unafraid before the terrors of the galaxy.|false|SM|Each time a Combat Attrition test is taken for this unit, ignore any or all modifiers.|
000000130||Rites of Battle||false|SM|Re-roll hit rolls of 1 for attacks made by models in friendly <CHAPTER> units whilst their unit is within 6"" of this model.|
000000131||Iron Halo||false|SM|This model has a 4+ invulnerable save.|
000000132||Storm shield|CHARACTER/other model|true|SM|The bearer has a 4+ invulnerable save. In addition, add 1 to armour saving throws made for the bearer.|
000000134||Teleport Strike||false|SM|During deployment, you can set up this model in a teleportarium chamber instead of setting it up on the battlefield. If you do, at the end of one of your Movement phases you can set up this model anywhere on the battlefield that is more than 9"" away from any enemy models.|
000000136||Turbo-boost||false|SM|Each time this model Advances, do not make an Advance roll. Instead, until the end of the phase, add 6"" to the Move characteristic of this model.|
000000137||Psychic Hood||false|SM|Each time a Deny the Witch test is taken for this model, if the unit attempting to manifest the psychic power is within 12"" of this model, add 1 to that Deny the Witch test.|
000000137||Psychic Hood||false|INQ|Each time a Deny the Witch test is taken for this model, if the unit attempting to manifest the psychic power is within 12"" of this model, add 1 to that Deny the Witch test.|
000000138||Crux Terminatus||false|SM|This model has a 5+ invulnerable save.|
000000139||Blessing of the Omnissiah||false|SM|At the end of your Movement phase, this model can repair one friendly <CHAPTER> VEHICLE model within 1"" of it. That model regains up to D3 lost wounds. Each model can only be repaired once per turn.|
000000140||Mindlock||false|SM|While this unit is within 6"" of any friendly <CHAPTER> TECHMARINE units, models in this unit have a Weapon Skill and Ballistic Skill characteristic of 4+ and a Leadership characteristic of 9. In addition, if your army is Battle-forged, then for each <CHAPTER> TECHMARINE unit included in a Detachment, one <CHAPTER> SERVITORS unit can be included in that Detachment without taking up a Battlefield Role slot.|
000000142||Spiritual Leaders||false|SM|Friendly <CHAPTER> units can use this model’s Leadership characteristic instead of their own whilst they are within 6"" of this model.|
000000143||Rosarius||false|SM|This model has a 4+ invulnerable save.|
000000144||Narthecium (Aura)||false|SM|While a friendly <CHAPTER> INFANTRY or <CHAPTER> BIKER unit is within 3"" of this model, each time a model in that unit would lose a wound, roll one D6: on a 6, that wound is not lost.|
000000146||Company Heroes||false|SM|If your army is Battle-forged, then for each LIEUTENANT unit included in a Detachment, a second LIEUTENANT unit can be included in that Detachment without taking up an additional Battlefield Role slot.|
000000147||Astartes Banner||false|SM|Add 1 to the Leadership characteristic of <CHAPTER> units whilst they are within 6"" of any friendly <CHAPTER> ANCIENTS. When a <CHAPTER> INFANTRY or <CHAPTER> BIKER model is destroyed within 6"" of any friendly  ANCIENTS, roll one D6 before removing that model from play. On a 4+ that model can either shoot with one of its ranged weapons as if it were your Shooting phase, or make one attack with one of its melee weapons as if it were the Fight phase.|
000000148||Honour or Death||false|SM|This model is eligible to perform a Heroic Intervention if it is within 6"" horizontally and 5"" vertically of any enemy unit, instead of 3"" horizontally and 5"" vertically. Each time this model makes a Heroic Intervention move, so long as it ends that move either closer to the closest enemy model or within Engagement Range of an enemy CHARACTER unit, it can move up to 6"". All other rules for Heroic Interventions still apply.|
000000149||Combat shield||true|SM|The bearer has a 5+ invulnerable save. In addition, add 1 to armour saving throws made for the bearer.|
000000153||Command Squad Bodyguard||false|SM|When a friendly <CHAPTER> CHARACTER model within 3"" of this unit would lose any wounds as a result of an attack made against that model, this unit can attempt to intercept that attack. Roll one D6; on a 2+ that model does not lose those wounds and this unit suffers 1 mortal wound for each of those wounds. Only one attempt can be made to intercept each attack.|
000000157||Camo Cloak||true|SM|Each time a ranged attack is allocated to the bearer while it is receiving the benefits of cover, add an additional 1 to any armour saving throw made against that attack.|
000000158||Honour Guard||false|SM|While a friendly ULTRAMARINES CHARACTER unit that has a Wounds characteristic of 9 or less is within 3"" of this unit, that CHARACTER unit can use the Look Out, Sir rule even if this unit contains fewer than 3 models.|
000000160||Centurion assault launcher||true|SM|While the bearer is on the battlefield, its unit has the ASSAULT LAUNCHERS keyword.|
000000161||Omniscope||false|SM|Each time a model in this unit makes a ranged attack, if this unit contains a Centurion Sergeant, then the target does not receive the benefits of cover against that attack.|
000000165||Smoke Launchers||false|GK|Once per battle, instead of shooting in your Shooting phase, this model can use its smoke launchers. Until the start of your next Shooting phase, when resolving an attack made with a ranged weapon against this model, subtract 1 from the hit roll.|
000000165||Smoke Launchers||false|SM|Once per battle, instead of shooting in your Shooting phase, this model can use its smoke launchers. Until the start of your next Shooting phase, when resolving an attack made with a ranged weapon against this model, subtract 1 from the hit roll.|
000000166||Explodes||false|GK|When this model is destroyed, roll one D6 before removing it from play. On a 6 it explodes, and each unit within 3"" suffers 1 mortal wound.|
000000166||Explodes||false|SM|When this model is destroyed, roll one D6 before removing it from play. On a 6 it explodes, and each unit within 3"" suffers 1 mortal wound.|
000000167||Unyielding Ancient||false|GK|Each time this model would lose a wound, roll one D6: on a 6, that wound is not lost.|
000000167||Unyielding Ancient||false|SM|Each time this model would lose a wound, roll one D6: on a 6, that wound is not lost.|
000000168||Atomantic Shielding||false|SM|This model has a 5+ invulnerable save.|
000000169||Explodes||false|SM|When this model is destroyed, roll one D6 before removing it from play. On a 6 it explodes, and each unit within 3"" suffers 1 mortal wound.|
000000170||Wrecker||false|SM|Each time this model makes a melee attack, if it is equipped with an Ironclad combat weapon, re-roll a hit roll of 1.|
000000171||Ironclad assault launchers||true|SM|The bearer has the ASSAULT LAUNCHERS keyword.|
000000174||Teleport homer||true|SM|Once per battle, at the start of your Movement phase, you can remove this unit from the battlefield and then, in the Reinforcements step of your next Movement phase, you can set this unit back up on the battlefield, anywhere wholly within your own deployment zone and more than 9"" from any enemy models, or anywhere within 3"" of a friendly <CHAPTER> model and more than 9"" from any enemy models. If the battle ends and this unit is not on the battlefield, it is destroyed. If this unit has split into two units because of its Combat Squads ability, only one of those units can use the Teleport Homer ability.Designer’s Notes: We recommend placing a Teleport Homer model next to the unit as a reminder, removing it once this ability has been used (a Teleport Homer does not count as a model for any rules purposes).|
000000175||Crux Terminatus||false|SM|Every model in this unit has a 5+ invulnerable save.|
000000185||Turbo-boost||false|SM|Each time this unit Advances, do not make an Advance roll. Instead, until the end of the phase, add 6"" to the Move characteristic of models in this unit.|
000000187||Open-topped||false|SM|In your Shooting phase, units embarked within this transport can be selected to shoot with; measure distances and draw line of sight from any point on this transport when doing so. If this transport made a Normal Move, Advanced or Fell Back this turn, embarked units are considered to have done the same. While this transport is within Engagement Range of any enemy units, embarked units cannot shoot, except with Pistols.|
000000188||Explodes||false|SM|When this transport is destroyed, roll one D6 before any embarked models disembark and before removing it from play. On a 6 it explodes, and each unit within 3” suffers 1 mortal wound.|
000000190||Explodes||false|SM|Each time a model in this unit is destroyed, roll one D6 before removing it from play. On a 6 it explodes, and each unit within 3"" suffers 1 mortal wound.|
000000191||Self-Repair||false|SM|If this model has lost any wounds, you can roll one D6 at the start of your turn; on a 6 this model regains 1 lost wound.|
000000192||Explodes||false|SM|When this transport is destroyed, roll one D6 before any embarked models disembark and before removing it from play. On a 6 it explodes, and each unit within 6"" suffers D3 mortal wounds.|
000000193||Servo-skull Hub||false|SM|At the start of your Shooting phase, select one of the following:Targeting Data Skull: Select one friendly <CHAPTER> unit within 12"" of this model. Until the end of the phase, when resolving an attack made by a model in that unit, add 1 to the hit roll.Repair Skull: Select one friendly <CHAPTER> VEHICLE model within 12"" of this unit. That model regains 1 lost wound.Vox Skull: Until the start of your next Shooting phase, when a Morale test is taken for a friendly  unit within 12"" of this model, subtract 1 from the result.|
000000194||Drop Pod Assault||false|SM|This transport must start the battle set up high in the skies (see Death From Above) but neither it, nor any units embarked within it, are counted towards any limits that the mission you are playing places on the maximum number of Reinforcement units you can have in your army. This transport can be set up in the Reinforcements step of your first, second or third Movement phase, regardless of any mission rules. Any units embarked within this transport must immediately disembark after it has been set up on the battlefield, and they must be set up more than 9"" away from any enemy models. After this transport has been set up on the battlefield, no units can embark within it.|
000000196||Airborne||false|TAU|You cannot declare a charge with this model, and it can only be chosen as a target of a charge if the unit making the charge can FLY. You can only fight with this model if it is within Engagement Range of any enemy units that can FLY, and this model can only make melee attacks against units that can FLY. Enemy units can only make melee attacks against this model if they can FLY.|
000000196||Airborne||false|GK|You cannot declare a charge with this model, and it can only be chosen as a target of a charge if the unit making the charge can FLY. You can only fight with this model if it is within Engagement Range of any enemy units that can FLY, and this model can only make melee attacks against units that can FLY. Enemy units can only make melee attacks against this model if they can FLY.|
000000196||Airborne||false|DRU|You cannot declare a charge with this model, and it can only be chosen as a target of a charge if the unit making the charge can FLY. You can only fight with this model if it is within Engagement Range of any enemy units that can FLY, and this model can only make melee attacks against units that can FLY. Enemy units can only make melee attacks against this model if they can FLY.|
000000196||Airborne||false|AM|You cannot declare a charge with this model, and it can only be chosen as a target of a charge if the unit making the charge can FLY. You can only fight with this model if it is within Engagement Range of any enemy units that can FLY, and this model can only make melee attacks against units that can FLY. Enemy units can only make melee attacks against this model if they can FLY.|
000000196||Airborne||false|RaH|You cannot declare a charge with this model, and it can only be chosen as a target of a charge if the unit making the charge can FLY. You can only fight with this model if it is within Engagement Range of any enemy units that can FLY, and this model can only make melee attacks against units that can FLY. Enemy units can only make melee attacks against this model if they can FLY.|
000000196||Airborne||false|SM|You cannot declare a charge with this model, and it can only be chosen as a target of a charge if the unit making the charge can FLY. You can only fight with this model if it is within Engagement Range of any enemy units that can FLY, and this model can only make melee attacks against units that can FLY. Enemy units can only make melee attacks against this model if they can FLY.|
000000197||Explodes||false|SM|When this model is destroyed, roll one D6 before any embarked models disembark and before removing it from play. On a 6 it explodes, and each unit within 6"" suffers D6 mortal wounds.|
000000198||Infernum halo-launcher||true|SM|Each time a ranged attack made by an AIRCRAFT model is allocated to the bearer, add 1 to any armour saving throw made against that attack.|
000000199||Supersonic||false|GK|When this model moves in your Movement phase, first pivot it on the spot up to 90° (this does not contribute to how far the model moves), then move the model straight forwards. It cannot pivot again after the initial pivot. When this model Advances, add 20"" to its Move characteristic until the end of the Movement phase instead of making an Advance roll.|
000000199||Supersonic||false|TAU|When this model moves in your Movement phase, first pivot it on the spot up to 90° (this does not contribute to how far the model moves), then move the model straight forwards. It cannot pivot again after the initial pivot. When this model Advances, add 20"" to its Move characteristic until the end of the Movement phase instead of making an Advance roll.|
000000199||Supersonic||false|DRU|When this model moves in your Movement phase, first pivot it on the spot up to 90° (this does not contribute to how far the model moves), then move the model straight forwards. It cannot pivot again after the initial pivot. When this model Advances, add 20"" to its Move characteristic until the end of the Movement phase instead of making an Advance roll.|
000000199||Supersonic||false|RaH|When this model moves in your Movement phase, first pivot it on the spot up to 90° (this does not contribute to how far the model moves), then move the model straight forwards. It cannot pivot again after the initial pivot. When this model Advances, add 20"" to its Move characteristic until the end of the Movement phase instead of making an Advance roll.|
000000199||Supersonic||false|SM|When this model moves in your Movement phase, first pivot it on the spot up to 90° (this does not contribute to how far the model moves), then move the model straight forwards. It cannot pivot again after the initial pivot. When this model Advances, add 20"" to its Move characteristic until the end of the Movement phase instead of making an Advance roll.|
000000199||Supersonic||false|AM|When this model moves in your Movement phase, first pivot it on the spot up to 90° (this does not contribute to how far the model moves), then move the model straight forwards. It cannot pivot again after the initial pivot. When this model Advances, add 20"" to its Move characteristic until the end of the Movement phase instead of making an Advance roll.|
000000200||Hard to Hit||false|SM|Each time a ranged attack is made against this model, subtract 1 from that attack’s hit roll.|
000000200||Hard to Hit||false|GK|Each time a ranged attack is made against this model, subtract 1 from that attack’s hit roll.|
000000200||Hard to Hit||false|TAU|Each time a ranged attack is made against this model, subtract 1 from that attack’s hit roll.|
000000200||Hard to Hit||false|DRU|Each time a ranged attack is made against this model, subtract 1 from that attack’s hit roll.|
000000200||Hard to Hit||false|AM|Each time a ranged attack is made against this model, subtract 1 from that attack’s hit roll.|
000000200||Hard to Hit||false|RaH|Each time a ranged attack is made against this model, subtract 1 from that attack’s hit roll.|
000000203||Hover Jet||false|RaH|Before this model moves in your Movement phase, you can declare it will hover. Its Move characteristic becomes 20"" until the end of the phase, and it loses the Airborne, Hard to Hit and Supersonic abilities until the beginning of your next Movement phase.|
000000203||Hover Jet||false|SM|Before this model moves in your Movement phase, you can declare it will hover. Its Move characteristic becomes 20"" until the end of the phase, and it loses the Airborne, Hard to Hit and Supersonic abilities until the beginning of your next Movement phase.|
000000203||Hover Jet||false|AM|Before this model moves in your Movement phase, you can declare it will hover. Its Move characteristic becomes 20"" until the end of the phase, and it loses the Airborne, Hard to Hit and Supersonic abilities until the beginning of your next Movement phase.|
000000203||Hover Jet||false|GK|Before this model moves in your Movement phase, you can declare it will hover. Its Move characteristic becomes 20"" until the end of the phase, and it loses the Airborne, Hard to Hit and Supersonic abilities until the beginning of your next Movement phase.|
000000205||Signum||false|SM|In your Shooting phase, each time this unit shoots, if it contains a Devastator Marine Sergeant, you can select one model in this unit. Until the end of the phase, that model has a Ballistic Skill characteristic of 2+.|
000000206||Armorium cherub||true|SM|Once per battle, in your Shooting phase, after this unit has shot, one model in this unit can immediately shoot with one of its ranged weapons again.Designer’s Note: We recommend placing an Armorium Cherub model next to the unit as a reminder, removing it once this ability has been used (an Armorium Cherub does not count as a model for any rules purposes).|
000000208||Decimator Protocols||false|SM|Models in this unit do not suffer the penalty to hit rolls incurred for firing Heavy weapons in the same turn that their unit has moved.|
000000212||Blessing of the Omnissiah||false|SM|At the end of your Movement phase, a Techmarine Gunner can repair one friendly <CHAPTER> VEHICLE model within 3"" of it. That Vehicle model regains up to D3 lost wounds. Each model can only be repaired once per turn.|
000000213||Explodes||false|SM|When this model is destroyed, roll one D6 before removing it from play. On a 6 it explodes, and each unit within 6"" suffers D3 mortal wounds.|
000000216||Explodes||false|SM|When this transport is destroyed, roll one D6 before any embarked models disembark and before removing it from play. On a 6 it explodes, and each unit within 6"" suffers D6 mortal wounds.|
